date;steps;distance;calories;heart_rate
29.05.2017;5272;3607;124;70
30.05.2017;10354;7448;248;74
31.05.2017;10016;6892;221;71
01.06.2017;5778;4001;141;70
02.06.2017;4579;3057;113;71
03.06.2017;10868;7179;235;72
04.06.2017;2234;1457;62;70
05.06.2017;3674;2514;87;75
06.06.2017;11315;8189;269;70
07.06.2017;17788;12788;399;74
08.06.2017;5459;3672;117;73
09.06.2017;8960;6306;214;71
10.06.2017;13480;9480;297;75
11.06.2017;19051;13334;414;72
12.06.2017;11668;8030;250;74
13.06.2017;7808;5219;160;74
14.06.2017;5347;4064;130;72
15.06.2017;14994;10759;356;74
16.06.2017;5108;3457;128;73
17.06.2017;17437;11516;377;73
18.06.2017;2160;1396;60;71
19.06.2017;4657;3314;120;73
20.06.2017;4862;3521;128;73
21.06.2017;2770;1950;75;71
22.06.2017;5164;3535;124;70
23.06.2017;5071;3503;118;70
24.06.2017;26745;19494;675;70
25.06.2017;14538;10176;341;70
26.06.2017;3858;2685;98;72
27.06.2017;4713;3361;120;71
28.06.2017;5496;3803;136;73
29.06.2017;6548;4588;160;70
30.06.2017;15384;10372;338;74
01.07.2017;10228;6684;224;71
02.07.2017;10153;7500;267;74
03.07.2017;16628;12517;427;70
04.07.2017;18676;14266;503;74
05.07.2017;4904;3473;120;70
06.07.2017;19022;13515;442;71
07.07.2017;5025;3681;133;70
08.07.2017;10115;7149;259;75
09.07.2017;4262;3279;128;73
10.07.2017;2402;1680;62;70
11.07.2017;811;561;22;74
12.07.2017;2538;1777;67;72
13.07.2017;4737;3538;132;72
14.07.2017;2710;1880;76;73
15.07.2017;14709;9665;305;74
16.07.2017;10059;7309;237;75
17.07.2017;11211;7929;269;73
18.07.2017;2695;1901;71;73
19.07.2017;4565;3327;120;71
20.07.2017;7260;5154;183;73
21.07.2017;14818;9725;305;71
22.07.2017;21404;14668;476;70
23.07.2017;7558;5627;188;75
24.07.2017;12012;9154;331;73
25.07.2017;8734;5786;198;73
26.07.2017;4006;2829;107;75
27.07.2017;6238;4450;163;73
28.07.2017;17688;12093;391;73
29.07.2017;37126;26491;828;74
30.07.2017;23826;16986;543;72
31.07.2017;7119;5077;188;74
01.08.2017;4015;2852;107;74
02.08.2017;12065;8364;278;70
03.08.2017;2553;1806;70;72
04.08.2017;14331;10880;384;72
05.08.2017;17125;12100;409;75
06.08.2017;4690;3568;140;71
07.08.2017;2599;1870;66;75
08.08.2017;8692;6165;202;70
09.08.2017;13583;10250;345;74
10.08.2017;17925;12914;428;73
11.08.2017;5911;3923;131;71
12.08.2017;17040;11521;373;75
13.08.2017;10490;7743;261;71
14.08.2017;4005;2684;91;75
15.08.2017;5645;4047;154;70
16.08.2017;6877;4795;176;73
17.08.2017;5650;3881;129;75
18.08.2017;9389;6172;202;74
19.08.2017;15915;11255;362;74
20.08.2017;11850;9021;304;71
21.08.2017;5985;4309;149;73
22.08.2017;18335;12720;428;72
23.08.2017;2866;1988;75;73
24.08.2017;8896;6635;237;74
25.08.2017;10408;7107;232;71
26.08.2017;17635;12489;408;71
27.08.2017;2665;1907;70;73
28.08.2017;7802;5555;198;74
29.08.2017;4885;3268;111;71
30.08.2017;3002;2112;80;75
31.08.2017;10176;7529;272;75
01.09.2017;3166;2212;79;70
02.09.2017;18094;13818;462;72
03.09.2017;30841;23002;793;71
04.09.2017;8752;5842;198;70
05.09.2017;3372;2477;95;75
06.09.2017;4600;3111;110;70
07.09.2017;5834;3930;134;72
08.09.2017;9773;7327;275;73
09.09.2017;14669;10141;334;73
10.09.2017;4788;3462;124;74
11.09.2017;4452;2982;111;72
12.09.2017;14137;10283;352;73
13.09.2017;10044;6828;224;70
14.09.2017;4408;2989;101;75
15.09.2017;8603;5997;197;73
16.09.2017;30522;20886;654;75
